filename,label,channel,trial_id,timestep,value
asagi10h.txt,Down,horizontal,10,0,123.0
asagi10h.txt,Down,horizontal,10,1,126.0
asagi10h.txt,Down,horizontal,10,2,134.0
asagi10h.txt,Down,horizontal,10,3,131.0
asagi10h.txt,Down,horizontal,10,4,125.0
asagi10h.txt,Down,horizontal,10,5,131.0
asagi10h.txt,Down,horizontal,10,6,130.0
asagi10h.txt,Down,horizontal,10,7,127.0
asagi10h.txt,Down,horizontal,10,8,133.0
asagi10h.txt,Down,horizontal,10,9,128.0
asagi10h.txt,Down,horizontal,10,10,126.0
asagi10h.txt,Down,horizontal,10,11,132.0
asagi10h.txt,Down,horizontal,10,12,132.0
asagi10h.txt,Down,horizontal,10,13,127.0
asagi10h.txt,Down,horizontal,10,14,126.0
asagi10h.txt,Down,horizontal,10,15,134.0
asagi10h.txt,Down,horizontal,10,16,135.0
asagi10h.txt,Down,horizontal,10,17,125.0
asagi10h.txt,Down,horizontal,10,18,131.0
asagi10h.txt,Down,horizontal,10,19,130.0
asagi10h.txt,Down,horizontal,10,20,132.0
asagi10h.txt,Down,horizontal,10,21,129.0
asagi10h.txt,Down,horizontal,10,22,127.0
asagi10h.txt,Down,horizontal,10,23,131.0
asagi10h.txt,Down,horizontal,10,24,130.0
asagi10h.txt,Down,horizontal,10,25,133.0
asagi10h.txt,Down,horizontal,10,26,133.0
asagi10h.txt,Down,horizontal,10,27,128.0
asagi10h.txt,Down,horizontal,10,28,137.0
asagi10h.txt,Down,horizontal,10,29,132.0
asagi10h.txt,Down,horizontal,10,30,129.0
asagi10h.txt,Down,horizontal,10,31,131.0
asagi10h.txt,Down,horizontal,10,32,136.0
asagi10h.txt,Down,horizontal,10,33,130.0
asagi10h.txt,Down,horizontal,10,34,129.0
asagi10h.txt,Down,horizontal,10,35,133.0
asagi10h.txt,Down,horizontal,10,36,130.0
asagi10h.txt,Down,horizontal,10,37,131.0
asagi10h.txt,Down,horizontal,10,38,135.0
asagi10h.txt,Down,horizontal,10,39,132.0
asagi10h.txt,Down,horizontal,10,40,134.0
asagi10h.txt,Down,horizontal,10,41,134.0
asagi10h.txt,Down,horizontal,10,42,133.0
asagi10h.txt,Down,horizontal,10,43,128.0
asagi10h.txt,Down,horizontal,10,44,130.0
asagi10h.txt,Down,horizontal,10,45,138.0
asagi10h.txt,Down,horizontal,10,46,130.0
asagi10h.txt,Down,horizontal,10,47,131.0
asagi10h.txt,Down,horizontal,10,48,136.0
asagi10h.txt,Down,horizontal,10,49,134.0
asagi10h.txt,Down,horizontal,10,50,129.0
asagi10h.txt,Down,horizontal,10,51,136.0
asagi10h.txt,Down,horizontal,10,52,135.0
asagi10h.txt,Down,horizontal,10,53,135.0
asagi10h.txt,Down,horizontal,10,54,134.0
asagi10h.txt,Down,horizontal,10,55,136.0
asagi10h.txt,Down,horizontal,10,56,132.0
asagi10h.txt,Down,horizontal,10,57,129.0
asagi10h.txt,Down,horizontal,10,58,133.0
asagi10h.txt,Down,horizontal,10,59,135.0
asagi10h.txt,Down,horizontal,10,60,130.0
asagi10h.txt,Down,horizontal,10,61,139.0
asagi10h.txt,Down,horizontal,10,62,132.0
asagi10h.txt,Down,horizontal,10,63,134.0
asagi10h.txt,Down,horizontal,10,64,137.0
asagi10h.txt,Down,horizontal,10,65,132.0
asagi10h.txt,Down,horizontal,10,66,133.0
asagi10h.txt,Down,horizontal,10,67,131.0
asagi10h.txt,Down,horizontal,10,68,134.0
asagi10h.txt,Down,horizontal,10,69,136.0
asagi10h.txt,Down,horizontal,10,70,133.0
asagi10h.txt,Down,horizontal,10,71,133.0
asagi10h.txt,Down,horizontal,10,72,133.0
